Date,Open,High,Low,Close,Adj Close,Volume
2019-05-20,11651.900391,11845.200195,11591.700195,11828.250000,11828.250000,452100
2019-05-21,11863.650391,11883.549805,11682.799805,11709.099609,11709.099609,381000
2019-05-22,11727.950195,11784.799805,11682.400391,11737.900391,11737.900391,355900
2019-05-23,11901.299805,12041.150391,11614.500000,11657.049805,11657.049805,569000
2019-05-24,11748.000000,11859.000000,11658.099609,11844.099609,11844.099609,374600
2019-05-27,11855.500000,11957.150391,11812.400391,11924.750000,11924.750000,348400
2019-05-28,11958.349609,11958.549805,11864.900391,11928.750000,11928.750000,598300
2019-05-29,11905.799805,11931.900391,11836.799805,11861.099609,11861.099609,318100
2019-05-30,11865.299805,11968.549805,11859.400391,11945.900391,11945.900391,421200
2019-05-31,11999.799805,12039.250000,11829.450195,11922.799805,11922.799805,438900
2019-06-03,11953.750000,12103.049805,11920.099609,12088.549805,12088.549805,315300
2019-06-04,12052.650391,12095.200195,12005.849609,12021.650391,12021.650391,289200
2019-06-06,12039.799805,12039.799805,11830.250000,11843.750000,11843.750000,415200
2019-06-07,11865.200195,11897.500000,11769.500000,11870.650391,11870.650391,302500
2019-06-10,11934.900391,11975.049805,11871.750000,11922.700195,11922.700195,303300
2019-06-11,11959.849609,12000.349609,11904.349609,11965.599609,11965.599609,332200
2019-06-12,11962.450195,11962.450195,11866.349609,11906.200195,11906.200195,283700
2019-06-13,11873.900391,11931.349609,11817.049805,11914.049805,11914.049805,447900
2019-06-14,11910.099609,11911.849609,11797.700195,11823.299805,11823.299805,390300
2019-06-17,11844.000000,11844.049805,11657.750000,11672.150391,11672.150391,295500
2019-06-18,11677.049805,11727.200195,11641.150391,11691.500000,11691.500000,365500
2019-06-19,11744.450195,11802.500000,11625.099609,11691.450195,11691.450195,446900
2019-06-20,11653.650391,11843.500000,11635.049805,11831.750000,11831.750000,442000
2019-06-21,11827.599609,11827.950195,11705.099609,11724.099609,11724.099609,468400
2019-06-24,11725.799805,11754.000000,11670.200195,11699.650391,11699.650391,277600
